rank	kanji	kind
371	肉	Kyōiku (2nd grade)
372	第	Kyōiku (3rd grade)
373	騎	Jōyō
374	団	Kyōiku (5th grade)
375	再	Kyōiku (5th grade)
376	経	Kyōiku (5th grade)
377	満	Kyōiku (4th grade)
378	側	Kyōiku (4th grade)
379	公	Kyōiku (2nd grade)
380	掛	Jōyō
381	怒	Jōyō
382	欲	Kyōiku (6th grade)
383	仲	Kyōiku (4th grade)
384	際	Kyōiku (5th grade)
385	礼	Kyōiku (3rd grade)
386	奴	Jōyō
387	破	Kyōiku (5th grade)
388	有	Kyōiku (3rd grade)
389	冷	Kyōiku (4th grade)
390	余	Kyōiku (5th grade)
391	探	Kyōiku (6th grade)
392	難	Kyōiku (6th grade)
393	五	Kyōiku (1st grade)
394	交	Kyōiku (2nd grade)
395	友	Kyōiku (2nd grade)
396	横	Kyōiku (3rd grade)
397	画	Kyōiku (2nd grade)
398	微	Jōyō
399	訳	Kyōiku (6th grade)
400	静	Kyōiku (4th grade)
401	夢	Kyōiku (5th grade)
402	怖	Jōyō
403	飲	Kyōiku (3rd grade)
404	計	Kyōiku (2nd grade)
405	念	Kyōiku (4th grade)
406	許	Kyōiku (5th grade)
407	送	Kyōiku (3rd grade)
408	似	Kyōiku (5th grade)
409	幸	Kyōiku (3rd grade)
410	質	Kyōiku (5th grade)
411	速	Kyōiku (3rd grade)
412	役	Kyōiku (3rd grade)
413	渡	Jōyō
414	危	Kyōiku (6th grade)
415	街	Kyōiku (4th grade)
416	奥	Jōyō
417	居	Kyōiku (5th grade)
418	熱	Kyōiku (4th grade)
419	青	Kyōiku (1st grade)
420	傷	Kyōiku (6th grade)
421	去	Kyōiku (3rd grade)
422	議	Kyōiku (4th grade)
423	警	Kyōiku (6th grade)
424	細	Kyōiku (2nd grade)
425	位	Kyōiku (4th grade)
426	朝	Kyōiku (2nd grade)
427	御	Jōyō
428	肩	Jōyō
429	社	Kyōiku (2nd grade)
430	読	Kyōiku (2nd grade)
431	品	Kyōiku (3rd grade)
432	聖	Kyōiku (6th grade)
433	茶	Kyōiku (2nd grade)
434	端	Jōyō
435	階	Kyōiku (3rd grade)
436	軽	Kyōiku (3rd grade)
437	買	Kyōiku (2nd grade)
438	右	Kyōiku (1st grade)
439	徒	Kyōiku (4th grade)
440	城	Kyōiku (4th grade)
441	影	Jōyō
442	休	Kyōiku (1st grade)
443	降	Kyōiku (6th grade)
444	共	Kyōiku (4th grade)
445	婚	Jōyō
446	太	Kyōiku (2nd grade)
447	移	Kyōiku (5th grade)
448	響	Jōyō
449	護	Kyōiku (5th grade)
450	制	Kyōiku (5th grade)
451	頃	Jōyō
452	皆	Jōyō
453	官	Kyōiku (4th grade)
454	弾	Jōyō
455	裏	Kyōiku (6th grade)
456	片	Kyōiku (6th grade)
457	霊	Jōyō
458	眼	Kyōiku (5th grade)
459	武	Kyōiku (5th grade)
460	台	Kyōiku (2nd grade)
461	困	Kyōiku (6th grade)
462	原	Kyōiku (2nd grade)
463	耳	Kyōiku (1st grade)
464	腹	Kyōiku (6th grade)
465	況	Jōyō
466	黙	Jōyō
467	握	Jōyō
468	壁	Jōyō
469	忘	Kyōiku (6th grade)
470	激	Kyōiku (6th grade)
471	怪	Jōyō
472	示	Kyōiku (5th grade)
473	具	Kyōiku (3rd grade)
474	帝	Jōyō
475	嬉	Jinmeiyō
476	園	Kyōiku (2nd grade)
477	辺	Kyōiku (4th grade)
478	容	Kyōiku (5th grade)
479	吸	Kyōiku (6th grade)
480	腰	Jōyō
481	判	Kyōiku (5th grade)
482	式	Kyōiku (3rd grade)
483	暗	Kyōiku (3rd grade)
484	悲	Kyōiku (3rd grade)
485	義	Kyōiku (5th grade)
486	宮	Kyōiku (3rd grade)
487	迷	Kyōiku (5th grade)
488	申	Kyōiku (3rd grade)
489	験	Kyōiku (4th grade)
490	和	Kyōiku (3rd grade)
491	泣	Kyōiku (4th grade)
492	像	Kyōiku (5th grade)
493	務	Kyōiku (5th grade)
494	接	Kyōiku (5th grade)
495	故	Kyōiku (5th grade)
496	論	Kyōiku (6th grade)
497	支	Kyōiku (5th grade)
498	娘	Jōyō
499	壊	Jōyō
500	察	Kyōiku (4th grade)
501	左	Kyōiku (1st grade)
502	頷	Hyōgai
503	案	Kyōiku (4th grade)
504	未	Kyōiku (4th grade)
505	談	Kyōiku (3rd grade)
506	村	Kyōiku (1st grade)
507	吐	Jōyō
508	乱	Kyōiku (6th grade)
509	民	Kyōiku (4th grade)
510	試	Kyōiku (4th grade)
511	保	Kyōiku (5th grade)
512	駄	Jōyō
513	惑	Jōyō
514	割	Kyōiku (6th grade)
515	客	Kyōiku (3rd grade)
516	技	Kyōiku (5th grade)
517	震	Jōyō
518	散	Kyōiku (4th grade)
519	揺	Jōyō
520	途	Jōyō
521	興	Kyōiku (5th grade)
522	伸	Jōyō
523	闘	Jōyō
524	紙	Kyōiku (2nd grade)
525	閉	Kyōiku (6th grade)
526	種	Kyōiku (4th grade)
527	土	Kyōiku (1st grade)
528	為	Jōyō
529	若	Kyōiku (6th grade)
530	竜	Jōyō
531	束	Kyōiku (4th grade)
532	恋	Jōyō
533	注	Kyōiku (3rd grade)
534	頑	Jōyō
535	疑	Kyōiku (6th grade)
536	病	Kyōiku (3rd grade)
537	証	Kyōiku (5th grade)
538	練	Kyōiku (3rd grade)
539	爵	Jōyō
540	舞	Jōyō
541	治	Kyōiku (4th grade)
542	恥	Jōyō
543	叫	Jōyō
544	襲	Jōyō
545	路	Kyōiku (3rd grade)
546	逆	Kyōiku (5th grade)
547	獣	Jōyō
548	売	Kyōiku (2nd grade)
549	万	Kyōiku (2nd grade)
550	並	Kyōiku (6th grade)
551	昨	Kyōiku (4th grade)
552	門	Kyōiku (2nd grade)
553	根	Kyōiku (3rd grade)
554	駆	Jōyō
555	参	Kyōiku (4th grade)
556	量	Kyōiku (4th grade)
557	図	Kyōiku (2nd grade)
558	遊	Kyōiku (3rd grade)
559	収	Kyōiku (6th grade)
560	眠	Jōyō
561	妹	Kyōiku (2nd grade)
562	妙	Jōyō
563	邪	Jōyō
564	弱	Kyōiku (2nd grade)
565	観	Kyōiku (4th grade)
566	令	Kyōiku (4th grade)
567	嬢	Jōyō
568	瞳	Jōyō
569	衛	Kyōiku (5th grade)
570	院	Kyōiku (3rd grade)
571	謝	Kyōiku (5th grade)
572	席	Kyōiku (4th grade)
573	星	Kyōiku (2nd grade)
574	遅	Jōyō
575	投	Kyōiku (3rd grade)
576	船	Kyōiku (2nd grade)
577	巻	Kyōiku (6th grade)
578	隣	Jōyō
579	増	Kyōiku (5th grade)
580	領	Kyōiku (5th grade)
581	滅	Jōyō
582	退	Kyōiku (6th grade)
583	処	Kyōiku (6th grade)
584	古	Kyōiku (2nd grade)
585	暴	Kyōiku (5th grade)
586	効	Kyōiku (5th grade)
587	甘	Jōyō
588	与	Jōyō
589	準	Kyōiku (5th grade)
590	防	Kyōiku (5th grade)
591	踏	Jōyō
592	千	Kyōiku (1st grade)
593	復	Kyōiku (5th grade)
594	類	Kyōiku (4th grade)
595	求	Kyōiku (4th grade)
596	疲	Jōyō
597	憶	Jōyō
598	罪	Kyōiku (5th grade)
599	景	Kyōiku (4th grade)
600	犯	Kyōiku (5th grade)
601	姫	Jōyō
602	越	Jōyō
603	住	Kyōiku (3rd grade)
604	市	Kyōiku (2nd grade)
605	刺	Jōyō
606	害	Kyōiku (4th grade)
607	巨	Jōyō
608	絡	Jōyō
609	習	Kyōiku (3rd grade)
610	詰	Jōyō
611	射	Kyōiku (6th grade)
612	混	Kyōiku (5th grade)
613	商	Kyōiku (3rd grade)
614	字	Kyōiku (1st grade)
615	捨	Kyōiku (6th grade)
616	叩	Hyōgai
617	密	Kyōiku (6th grade)
618	焼	Kyōiku (4th grade)
619	局	Kyōiku (3rd grade)
620	森	Kyōiku (1st grade)
621	届	Kyōiku (6th grade)
622	丸	Kyōiku (2nd grade)
623	百	Kyōiku (1st grade)
624	扉	Jōyō
625	映	Kyōiku (6th grade)
626	簡	Kyōiku (6th grade)
627	吹	Jōyō
628	避	Jōyō
629	育	Kyōiku (3rd grade)
630	将	Kyōiku (6th grade)
631	冒	Jōyō
632	更	Jōyō
633	勇	Kyōiku (4th grade)
634	雪	Kyōiku (2nd grade)
635	喜	Kyōiku (5th grade)
636	町	Kyōiku (1st grade)
637	派	Kyōiku (6th grade)
638	帯	Kyōiku (4th grade)
639	染	Kyōiku (6th grade)
640	東	Kyōiku (2nd grade)
641	薄	Jōyō
642	極	Kyōiku (4th grade)
643	薬	Kyōiku (3rd grade)
644	済	Kyōiku (6th grade)
645	導	Kyōiku (5th grade)
646	刻	Kyōiku (6th grade)
647	八	Kyōiku (1st grade)
648	象	Kyōiku (5th grade)
649	救	Kyōiku (5th grade)
650	払	Jōyō
651	筋	Kyōiku (6th grade)
652	低	Kyōiku (4th grade)
653	田	Kyōiku (1st grade)
654	鹿	Kyōiku (4th grade)
655	包	Kyōiku (4th grade)
656	等	Kyōiku (3rd grade)
657	秘	Kyōiku (6th grade)
658	呟	Hyōgai
659	例	Kyōiku (4th grade)
660	六	Kyōiku (1st grade)
661	工	Kyōiku (2nd grade)
662	島	Kyōiku (3rd grade)
663	草	Kyōiku (1st grade)
664	折	Kyōiku (4th grade)
665	宿	Kyōiku (3rd grade)
666	唇	Jōyō
667	納	Kyōiku (6th grade)
668	介	Jōyō
669	従	Kyōiku (6th grade)
670	互	Jōyō
671	超	Jōyō
672	鬼	Jōyō
673	歳	Jōyō
674	脱	Jōyō
675	級	Kyōiku (3rd grade)
676	固	Kyōiku (4th grade)
677	迎	Jōyō
678	温	Kyōiku (3rd grade)
679	非	Kyōiku (5th grade)
680	夏	Kyōiku (2nd grade)
681	昼	Kyōiku (2nd grade)
682	敷	Jōyō
683	設	Kyōiku (5th grade)
684	替	Jōyō
685	属	Kyōiku (5th grade)
686	昔	Kyōiku (3rd grade)
687	距	Jōyō
688	底	Kyōiku (4th grade)
689	捕	Jōyō
690	角	Kyōiku (2nd grade)
691	快	Kyōiku (5th grade)
692	闇	Jōyō
693	減	Kyōiku (5th grade)
694	久	Kyōiku (5th grade)
695	香	Kyōiku (4th grade)
696	皇	Kyōiku (6th grade)
697	陽	Kyōiku (3rd grade)
698	造	Kyōiku (5th grade)
699	涙	Jōyō
700	爆	Jōyō
701	整	Kyōiku (3rd grade)
702	衣	Kyōiku (4th grade)
703	七	Kyōiku (1st grade)
704	産	Kyōiku (4th grade)
705	奇	Jōyō
706	慣	Kyōiku (5th grade)
707	個	Kyōiku (5th grade)
708	型	Kyōiku (5th grade)
709	刀	Kyōiku (2nd grade)
710	職	Kyōiku (5th grade)
