rank	kanji	kind
1841	沖	Kyōiku (4th grade)
1842	錠	Jōyō
1843	銅	Kyōiku (5th grade)
1844	恭	Jōyō
1845	旨	Jōyō
1846	逮	Jōyō
1847	垣	Jōyō
1848	踵	Hyōgai
1849	滝	Jōyō
1850	瑠	Jōyō
1851	屍	Hyōgai
1852	瞼	Hyōgai
1853	釘	Jinmeiyō
1854	哲	Jōyō
1855	貞	Jōyō
1856	仇	Hyōgai
1857	襟	Jōyō
1858	惹	Jinmeiyō
1859	冠	Jōyō
1860	朗	Kyōiku (6th grade)
1861	迂	Jinmeiyō
1862	貯	Kyōiku (5th grade)
1863	蝶	Jinmeiyō
1864	糧	Jōyō
1865	脂	Jōyō
1866	些	Jinmeiyō
1867	暁	Jōyō
1868	堕	Jōyō
1869	萌	Jinmeiyō
1870	偏	Jōyō
1871	冥	Jōyō
1872	槌	Jinmeiyō
1873	繕	Jōyō
1874	穫	Jōyō
1875	悦	Jōyō
1876	佇	Hyōgai
1877	雀	Jinmeiyō
1878	昏	Jinmeiyō
1879	蜂	Jōyō
1880	秩	Jōyō
1881	猟	Jōyō
1882	喘	Hyōgai
1883	吾	Jinmeiyō
1884	繊	Jōyō
1885	箸	Jōyō
1886	礎	Jōyō
1887	頻	Jōyō
1888	珀	Jinmeiyō
1889	琥	Jinmeiyō
1890	馳	Jinmeiyō
1891	軋	Hyōgai
1892	鞘	Jinmeiyō
1893	胡	Jinmeiyō
1894	薫	Jōyō
1895	畏	Jōyō
1896	艇	Jōyō
1897	雛	Jinmeiyō
1898	蟲	Hyōgai
1899	痙	Hyōgai
1900	吠	Hyōgai
1901	摩	Jōyō
1902	廻	Jinmeiyō
1903	顕	Jōyō
1904	髭	Hyōgai
1905	掠	Jinmeiyō
1906	慕	Jōyō
1907	臆	Jōyō
1908	詫	Jinmeiyō
1909	軟	Jōyō
1910	邦	Jōyō
1911	禍	Jōyō
1912	溺	Jōyō
1913	咎	Hyōgai
1914	昂	Jinmeiyō
1915	懇	Jōyō
1916	埃	Hyōgai
1917	蛍	Jōyō
1918	閥	Jōyō
1919	俗	Jōyō
1920	咆	Hyōgai
1921	湊	Jinmeiyō
1922	瞑	Hyōgai
1923	剰	Jōyō
1924	獅	Jinmeiyō
1925	倫	Jōyō
1926	奔	Jōyō
1927	衰	Jōyō
1928	紳	Jōyō
1929	柳	Jōyō
1930	餅	Jōyō
1931	塾	Jōyō
1932	戴	Jōyō
1933	隻	Jōyō
1934	銘	Jōyō
1935	飢	Jōyō
1936	舟	Jōyō
1937	峙	Hyōgai
1938	株	Kyōiku (6th grade)
1939	贅	Hyōgai
1940	礫	Hyōgai
1941	赴	Jōyō
1942	緯	Jōyō
1943	燥	Jōyō
1944	冴	Jinmeiyō
1945	涯	Jōyō
1946	慨	Jōyō
1947	鉢	Jōyō
1948	顰	Hyōgai
1949	摂	Jōyō
1950	眷	Hyōgai
1951	刷	Kyōiku (4th grade)
1952	戚	Jōyō
1953	冶	Jōyō
1954	澪	Jinmeiyō
1955	姓	Jōyō
1956	拓	Jōyō
1957	遙	Jinmeiyō
1958	鶴	Jōyō
1959	苑	Jinmeiyō
1960	墜	Jōyō
1961	淹	Hyōgai
1962	径	Kyōiku (4th grade)
1963	穿	Jinmeiyō
1964	藍	Jōyō
1965	稀	Jinmeiyō
1966	抽	Jōyō
1967	虹	Jōyō
1968	妥	Jōyō
1969	枢	Jōyō
1970	蠢	Hyōgai
1971	哮	Hyōgai
1972	怨	Jōyō
1973	圏	Jōyō
1974	抉	Hyōgai
1975	亭	Jōyō
1976	玲	Jinmeiyō
1977	瞥	Jinmeiyō
1978	謙	Jōyō
1979	丹	Jōyō
1980	漬	Jōyō
1981	綿	Kyōiku (5th grade)
1982	噌	Jinmeiyō
1983	烏	Jinmeiyō
1984	腫	Jōyō
1985	淵	Jinmeiyō
1986	兆	Kyōiku (4th grade)
1987	柊	Jinmeiyō
1988	其	Jinmeiyō
1989	燐	Hyōgai
1990	宜	Jōyō
1991	煩	Jōyō
1992	括	Jōyō
1993	塚	Jōyō
1994	柚	Jinmeiyō
1995	殲	Hyōgai
1996	櫂	Jinmeiyō
1997	亮	Jinmeiyō
1998	貪	Jōyō
1999	刊	Kyōiku (5th grade)
2000	翡	Hyōgai
2001	儲	Jinmeiyō
2002	羞	Jōyō
2003	拷	Jōyō
2004	併	Jōyō
2005	闊	Hyōgai
2006	巾	Jōyō
2007	鳳	Jinmeiyō
2008	浦	Jōyō
2009	娠	Jōyō
2010	孔	Jōyō
2011	宵	Jōyō
2012	虜	Jōyō
2013	詐	Jōyō
2014	煌	Jinmeiyō
2015	椿	Jinmeiyō
2016	汝	Jinmeiyō
2017	杉	Jōyō
2018	仙	Jōyō
2019	謁	Jōyō
2020	菊	Jōyō
2021	咥	Hyōgai
2022	肥	Kyōiku (5th grade)
2023	蘭	Jinmeiyō
2024	傲	Jōyō
2025	嵌	Hyōgai
2026	庶	Jōyō
2027	鶏	Jōyō
2028	郭	Jōyō
2029	躱	Hyōgai
2030	檻	Hyōgai
2031	朧	Hyōgai
2032	肺	Kyōiku (6th grade)
2033	串	Jōyō
2034	桐	Jinmeiyō
2035	貢	Jōyō
2036	孝	Kyōiku (6th grade)
2037	崇	Jōyō
2038	睦	Jōyō
2039	綻	Jōyō
2040	弦	Jōyō
2041	汐	Jinmeiyō
2042	懲	Jōyō
2043	辻	Jinmeiyō
2044	彷	Hyōgai
2045	芯	Jōyō
2046	碧	Jinmeiyō
2047	券	Kyōiku (6th grade)
2048	贄	Hyōgai
2049	凌	Jinmeiyō
2050	壺	Hyōgai
2051	曰	Hyōgai
2052	鉛	Jōyō
2053	稚	Jōyō
2054	寛	Jōyō
2055	縋	Hyōgai
2056	炊	Jōyō
2057	牽	Jinmeiyō
2058	曹	Jōyō
2059	岐	Kyōiku (4th grade)
2060	蛮	Jōyō
2061	舗	Jōyō
2062	硝	Jōyō
2063	鳩	Jinmeiyō
2064	薦	Jōyō
2065	葛	Jōyō
2066	茉	Jinmeiyō
2067	宛	Jōyō
2068	洩	Hyōgai
2069	痩	Jōyō
2070	諾	Jōyō
2071	吟	Jōyō
2072	軸	Jōyō
2073	焚	Jinmeiyō
2074	芋	Jōyō
2075	盆	Jōyō
2076	諭	Jōyō
2077	隆	Jōyō
2078	粛	Jōyō
2079	絨	Hyōgai
2080	狽	Hyōgai
2081	侶	Jōyō
2082	恰	Jinmeiyō
2083	慄	Jōyō
2084	匿	Jōyō
2085	刈	Jōyō
2086	頓	Jōyō
2087	抹	Jōyō
2088	批	Kyōiku (6th grade)
2089	錆	Jinmeiyō
2090	篠	Jinmeiyō
2091	某	Jōyō
2092	腸	Kyōiku (6th grade)
2093	攫	Hyōgai
2094	殖	Jōyō
2095	遜	Jōyō
2096	婿	Jōyō
2097	俊	Jōyō
2098	傑	Jōyō
2099	喝	Jōyō
2100	兜	Jinmeiyō
2101	咽	Jōyō
2102	飴	Hyōgai
2103	貝	Kyōiku (1st grade)
2104	乞	Jōyō
2105	湾	Jōyō
2106	彦	Jinmeiyō
2107	眸	Jinmeiyō
2108	柵	Jōyō
2109	搾	Jōyō
2110	毯	Hyōgai
2111	洒	Hyōgai
2112	絹	Kyōiku (6th grade)
2113	蕩	Hyōgai
2114	灼	Jinmeiyō
2115	桁	Jōyō
2116	慶	Jōyō
2117	沌	Jinmeiyō
2118	竿	Jinmeiyō
2119	弊	Jōyō
2120	套	Jinmeiyō
2121	塀	Jōyō
2122	棺	Jōyō
2123	紺	Jōyō
2124	姻	Jōyō
2125	冑	Hyōgai
2126	髄	Jōyō
2127	圭	Jinmeiyō
2128	萎	Jōyō
2129	哉	Jinmeiyō
2130	腑	Hyōgai
2131	汲	Jinmeiyō
2132	躙	Hyōgai
2133	燈	Jinmeiyō
2134	炸	Hyōgai
2135	搬	Jōyō
2136	岬	Jōyō
2137	袈	Jinmeiyō
2138	裟	Jinmeiyō
2139	嗜	Hyōgai
2140	栖	Jinmeiyō
2141	暦	Jōyō
2142	搭	Jōyō
2143	又	Jōyō
2144	棲	Jinmeiyō
2145	槽	Jōyō
2146	瘴	Hyōgai
2147	賃	Kyōiku (6th grade)
2148	茎	Jōyō
2149	渾	Jinmeiyō
2150	堀	Jōyō
2151	辰	Jinmeiyō
2152	垢	Hyōgai
2153	或	Jinmeiyō
2154	蔽	Jōyō
2155	昭	Kyōiku (3rd grade)
2156	厭	Hyōgai
2157	阪	Kyōiku (4th grade)
2158	莫	Jinmeiyō
2159	渚	Jinmeiyō
2160	墨	Jōyō
2161	甚	Jōyō
2162	脆	Hyōgai
2163	擁	Jōyō
2164	跪	Hyōgai
2165	鷲	Jinmeiyō
2166	撲	Jōyō
2167	椎	Jōyō
2168	巴	Jinmeiyō
2169	沫	Jinmeiyō
2170	胎	Jōyō
2171	閑	Jōyō
2172	培	Jōyō
2173	媚	Hyōgai
2174	螺	Jinmeiyō
2175	爛	Hyōgai
2176	謹	Jōyō
2177	嗚	Hyōgai
2178	淑	Jōyō
2179	媒	Jōyō
2180	玩	Jōyō
2181	菌	Jōyō
2182	狗	Hyōgai
2183	衡	Jōyō
2184	葱	Hyōgai
2185	逐	Jōyō
2186	腿	Hyōgai
2187	娼	Hyōgai
2188	欧	Jōyō
2189	淀	Jinmeiyō
2190	蝕	Hyōgai
2191	蹂	Hyōgai
2192	唖	Hyōgai
2193	楼	Jōyō
2194	桶	Jinmeiyō
2195	賜	Jōyō
2196	只	Jinmeiyō
2197	栗	Jinmeiyō
2198	燭	Jinmeiyō
2199	徨	Hyōgai
2200	颯	Jinmeiyō
2201	韻	Jōyō
2202	帥	Jōyō
2203	朔	Jinmeiyō
2204	擲	Hyōgai
2205	丼	Jōyō
2206	挫	Jōyō
2207	朽	Jōyō
2208	囮	Hyōgai
2209	糞	Hyōgai
2210	克	Jōyō
2211	嚇	Jōyō
2212	捌	Hyōgai
2213	伽	Jinmeiyō
2214	嬌	Hyōgai
2215	猪	Jinmeiyō
2216	繍	Hyōgai
2217	訂	Jōyō
2218	耕	Kyōiku (5th grade)
2219	瞭	Jōyō
2220	劫	Jinmeiyō
2221	鼠	Hyōgai
2222	蒔	Jinmeiyō
2223	恒	Jōyō
2224	餓	Jōyō
2225	簿	Jōyō
2226	櫻	Jinmeiyō
2227	憲	Kyōiku (6th grade)
2228	膳	Jōyō
2229	耶	Jinmeiyō
2230	奨	Jōyō
2231	壬	Jinmeiyō
2232	倣	Jōyō
2233	儚	Hyōgai
2234	駕	Jinmeiyō
2235	豹	Jinmeiyō
2236	嗤	Hyōgai
2237	賓	Jōyō
2238	呈	Jōyō
2239	祐	Jinmeiyō
2240	儘	Hyōgai
2241	薩	Jinmeiyō
2242	尿	Jōyō
2243	祓	Hyōgai
2244	斥	Jōyō
2245	盲	Jōyō
2246	踪	Jōyō
2247	采	Jōyō
2248	墟	Hyōgai
2249	躯	Hyōgai
2250	捲	Jinmeiyō
2251	菫	Jinmeiyō
2252	欄	Jōyō
2253	聡	Jinmeiyō
2254	樽	Jinmeiyō
2255	陳	Jōyō
2256	孕	Hyōgai
2257	榊	Jinmeiyō
2258	巳	Jinmeiyō
2259	薪	Jōyō
2260	猶	Jōyō
2261	凜	Jinmeiyō
2262	綴	Jinmeiyō
2263	廉	Jōyō
2264	猥	Hyōgai
2265	跨	Jinmeiyō
2266	咒	Hyōgai
2267	蔓	Jinmeiyō
2268	諜	Hyōgai
2269	疼	Hyōgai
2270	朴	Jōyō
2271	緋	Jinmeiyō
2272	后	Kyōiku (6th grade)
2273	棘	Hyōgai
2274	桂	Jinmeiyō
2275	坐	Jinmeiyō
2276	迸	Hyōgai
2277	需	Jōyō
2278	餐	Hyōgai
2279	疫	Jōyō
2280	柏	Jinmeiyō
2281	溝	Jōyō
2282	褐	Jōyō
2283	腔	Jinmeiyō
2284	轄	Jōyō
2285	躰	Hyōgai
2286	篭	Hyōgai
2287	啜	Hyōgai
2288	杭	Jinmeiyō
2289	仔	Jinmeiyō
2290	昴	Jinmeiyō
2291	痒	Hyōgai
2292	泰	Jōyō
2293	癪	Hyōgai
2294	譜	Jōyō
2295	蟻	Hyōgai
2296	逡	Hyōgai
2297	屑	Jinmeiyō
2298	蚊	Jōyō
2299	摯	Jōyō
2300	郵	Kyōiku (6th grade)
2301	秤	Jinmeiyō
2302	蜥	Hyōgai
2303	蜴	Hyōgai
2304	喩	Jōyō
2305	躾	Hyōgai
2306	凹	Jōyō
2307	雌	Jōyō
2308	茫	Hyōgai
2309	鞠	Jinmeiyō
2310	肖	Jōyō
2311	祥	Jōyō
2312	醸	Jōyō
2313	騰	Jōyō
2314	拉	Jōyō
2315	藻	Jōyō
2316	姐	Hyōgai
2317	遡	Jōyō
2318	迅	Jōyō
2319	勲	Jōyō
2320	埒	Hyōgai
2321	践	Jōyō
2322	煉	Jinmeiyō
2323	檎	Jinmeiyō
2324	唄	Jōyō
2325	芹	Jinmeiyō
2326	麺	Jōyō
2327	皐	Jinmeiyō
2328	郊	Jōyō
2329	惰	Jōyō
2330	狸	Hyōgai
2331	枷	Hyōgai
2332	遍	Jōyō
2333	瀕	Jinmeiyō
2334	娯	Jōyō
2335	逝	Jōyō
2336	摺	Jinmeiyō
2337	舵	Jinmeiyō
2338	謳	Hyōgai
2339	昆	Jōyō
2340	梯	Jinmeiyō
2341	該	Jōyō
2342	琢	Jinmeiyō
2343	蝋	Hyōgai
2344	醤	Hyōgai
2345	靄	Hyōgai
2346	毅	Jinmeiyō
2347	涎	Hyōgai
2348	寵	Jinmeiyō
2349	郡	Kyōiku (4th grade)
2350	吼	Hyōgai
2351	戮	Hyōgai
2352	岳	Jōyō
2353	於	Jinmeiyō
2354	辣	Jōyō
2355	閲	Jōyō
2356	楚	Jinmeiyō
2357	梢	Jinmeiyō
2358	惧	Jōyō
2359	祟	Hyōgai
2360	瓜	Jinmeiyō
2361	郁	Jinmeiyō
2362	斑	Jōyō
2363	笠	Jinmeiyō
2364	峯	Jinmeiyō
2365	弧	Jōyō
2366	恍	Hyōgai
2367	篤	Jōyō
2368	焔	Hyōgai
2369	翁	Jōyō
2370	宥	Jinmeiyō
2371	靡	Hyōgai
2372	牡	Jinmeiyō
2373	洲	Jinmeiyō
2374	陵	Jōyō
2375	蔭	Jinmeiyō
2376	釜	Jōyō
2377	怜	Jinmeiyō
2378	填	Hyōgai
2379	逞	Jinmeiyō
2380	炒	Hyōgai
2381	糾	Jōyō
2382	嶋	Jinmeiyō
2383	鯨	Jōyō
2384	慧	Jinmeiyō
2385	庵	Jinmeiyō
2386	幡	Jinmeiyō
2387	湛	Jinmeiyō
2388	酌	Jōyō
2389	貶	Hyōgai
2390	嫡	Jōyō
2391	詛	Hyōgai
2392	措	Jōyō
2393	梗	Jōyō
2394	幣	Jōyō
2395	翳	Hyōgai
2396	襖	Jinmeiyō
2397	厩	Jinmeiyō
2398	賄	Jōyō
2399	笹	Jinmeiyō
2400	杜	Jinmeiyō
2401	獰	Hyōgai
2402	幌	Jinmeiyō
2403	汽	Kyōiku (2nd grade)
2404	碗	Jinmeiyō
2405	輿	Jinmeiyō
2406	繭	Jōyō
2407	循	Jōyō
2408	瞠	Hyōgai
2409	焉	Hyōgai
2410	尺	Kyōiku (6th grade)
2411	襞	Hyōgai
2412	筧	Hyōgai
2413	橙	Jinmeiyō
2414	蔦	Jinmeiyō
2415	隈	Jinmeiyō
2416	啞	Hyōgai
2417	嘉	Jinmeiyō
2418	漕	Jinmeiyō
2419	藁	Jinmeiyō
2420	蛙	Hyōgai
2421	碑	Jōyō
2422	愁	Jōyō
2423	坑	Jōyō
2424	朦	Hyōgai
2425	堤	Jōyō
2426	鞍	Jinmeiyō
2427	弛	Jinmeiyō
2428	讃	Jinmeiyō
2429	耽	Jinmeiyō
2430	箒	Hyōgai
2431	駿	Jinmeiyō
2432	夷	Jinmeiyō
2433	呉	Jōyō
2434	挽	Jinmeiyō
2435	旬	Jōyō
2436	貿	Kyōiku (5th grade)
2437	准	Jōyō
2438	滓	Hyōgai
2439	栽	Jōyō
2440	叉	Jinmeiyō
2441	煎	Jōyō
2442	掟	Hyōgai
2443	錦	Jōyō
2444	剖	Jōyō
2445	仄	Hyōgai
2446	蹟	Jinmeiyō
2447	萩	Jinmeiyō
2448	憫	Hyōgai
2449	謂	Jinmeiyō
2450	俳	Kyōiku (6th grade)
2451	嶺	Jinmeiyō
2452	燻	Hyōgai
2453	磐	Jinmeiyō
2454	狡	Hyōgai
2455	茨	Kyōiku (4th grade)
2456	姦	Hyōgai
2457	禄	Jinmeiyō
2458	窪	Jinmeiyō
2459	傀	Hyōgai
2460	儡	Hyōgai
2461	挺	Jinmeiyō
2462	咀	Hyōgai
2463	嚼	Hyōgai
2464	桑	Jōyō
2465	栞	Jinmeiyō
2466	揄	Hyōgai
2467	揶	Hyōgai
2468	矜	Hyōgai
2469	樫	Jinmeiyō
2470	澤	Hyōgai
2471	棍	Hyōgai
2472	痣	Hyōgai
2473	甦	Hyōgai
2474	旭	Jinmeiyō
2475	葡	Jinmeiyō
2476	撥	Hyōgai
2477	弘	Jinmeiyō
2478	萄	Jinmeiyō
2479	屠	Hyōgai
2480	叡	Jinmeiyō
2481	榴	Hyōgai
2482	壱	Jōyō
2483	梁	Jinmeiyō
2484	熾	Hyōgai
2485	睫	Hyōgai
2486	疇	Hyōgai
2487	掬	Jinmeiyō
2488	妓	Hyōgai
2489	苔	Jinmeiyō
2490	屯	Jōyō
2491	唆	Jōyō
2492	噤	Hyōgai
2493	柴	Jinmeiyō
2494	桔	Jinmeiyō
2495	憚	Hyōgai
2496	鵜	Jinmeiyō
2497	蟹	Jinmeiyō
2498	禅	Jōyō
2499	膏	Jinmeiyō
2500	藪	Hyōgai
2501	昌	Jinmeiyō
2502	暢	Jinmeiyō
2503	轢	Hyōgai
2504	淋	Jinmeiyō
2505	麓	Jōyō
2506	隕	Hyōgai
2507	蹲	Hyōgai
2508	祠	Hyōgai
2509	洛	Jinmeiyō
2510	齧	Hyōgai
2511	鴨	Jinmeiyō
2512	燦	Jinmeiyō
2513	碌	Hyōgai
2514	祀	Hyōgai
2515	卯	Jinmeiyō
2516	戟	Jinmeiyō
2517	塁	Jōyō
2518	董	Jinmeiyō
2519	穀	Kyōiku (6th grade)
2520	俄	Jinmeiyō
2521	酢	Jōyō
2522	姪	Jinmeiyō
2523	瘦	Jinmeiyō
2524	贋	Hyōgai
2525	呵	Hyōgai
2526	享	Jōyō
2527	俵	Kyōiku (6th grade)
2528	鴉	Hyōgai
2529	濤	Hyōgai
2530	吏	Jōyō
2531	渓	Jōyō
2532	忽	Jinmeiyō
2533	彰	Jōyō
2534	楯	Jinmeiyō
2535	芻	Hyōgai
2536	窒	Jōyō
2537	謡	Jōyō
2538	杞	Hyōgai
2539	茹	Hyōgai
2540	捩	Hyōgai
2541	霜	Jōyō
2542	勅	Jōyō
2543	緻	Jōyō
2544	燕	Jinmeiyō
2545	暈	Hyōgai
2546	飄	Hyōgai
2547	贔	Hyōgai
2548	坦	Jinmeiyō
2549	駈	Jinmeiyō
2550	浩	Jinmeiyō
2551	粥	Jinmeiyō
2552	蝙	Hyōgai
2553	蝠	Hyōgai
2554	屓	Hyōgai
2555	櫛	Jinmeiyō
2556	肪	Jōyō
2557	禿	Hyōgai
2558	峡	Jōyō
2559	魁	Jinmeiyō
2560	鉤	Hyōgai
2561	咤	Hyōgai
2562	裔	Hyōgai
2563	剃	Hyōgai
2564	苺	Jinmeiyō
2565	李	Jinmeiyō
2566	迦	Jinmeiyō
2567	捗	Jōyō
2568	褪	Hyōgai
2569	悍	Hyōgai
2570	栓	Jōyō
2571	碁	Jōyō
2572	輔	Jinmeiyō
2573	凰	Jinmeiyō
2574	詣	Jōyō
2575	債	Jōyō
2576	姑	Hyōgai
2577	叙	Jōyō
2578	肋	Jinmeiyō
2579	箋	Jōyō
2580	峠	Jōyō
2581	癇	Hyōgai
2582	曾	Jinmeiyō
2583	捏	Hyōgai
2584	佑	Jinmeiyō
2585	篝	Hyōgai
2586	甥	Jinmeiyō
2587	珈	Jinmeiyō
2588	琲	Hyōgai
2589	舷	Jōyō
2590	蒲	Jinmeiyō
2591	鋏	Hyōgai
2592	洪	Jōyō
2593	尼	Jōyō
2594	附	Jōyō
2595	憮	Hyōgai
2596	頸	Hyōgai
2597	叛	Hyōgai
2598	肛	Hyōgai
2599	粟	Jinmeiyō
2600	冤	Hyōgai
2601	弔	Jōyō
2602	袴	Jinmeiyō
2603	條	Jinmeiyō
2604	尤	Jinmeiyō
2605	悧	Hyōgai
2606	遽	Hyōgai
2607	梳	Hyōgai
2608	蕾	Jinmeiyō
2609	炙	Hyōgai
2610	靭	Hyōgai
2611	矯	Jōyō
2612	屁	Hyōgai
2613	斃	Hyōgai
2614	寡	Jōyō
2615	玖	Jinmeiyō
2616	鍔	Hyōgai
2617	蕎	Jinmeiyō
2618	凸	Jōyō
2619	捷	Jinmeiyō
2620	哨	Jinmeiyō
2621	徊	Hyōgai
2622	裡	Jinmeiyō
2623	韓	Jōyō
2624	癌	Hyōgai
2625	桟	Jōyō
2626	徘	Hyōgai
2627	吻	Jinmeiyō
2628	朋	Jinmeiyō
2629	惣	Jinmeiyō
2630	煤	Jinmeiyō
2631	伍	Jinmeiyō
2632	菱	Jinmeiyō
2633	滾	Hyōgai
2634	鹸	Hyōgai
2635	佃	Jinmeiyō
2636	嘔	Hyōgai
2637	悸	Hyōgai
2638	鉈	Hyōgai
2639	卸	Jōyō
2640	遷	Jōyō
2641	堰	Jinmeiyō
2642	僭	Hyōgai
2643	澱	Hyōgai
2644	茸	Jinmeiyō
2645	榛	Jinmeiyō
2646	賽	Hyōgai
2647	鷺	Jinmeiyō
2648	譚	Hyōgai
2649	窘	Hyōgai
2650	播	Jinmeiyō
2651	錐	Jinmeiyō
2652	饅	Hyōgai
2653	猾	Hyōgai
2654	宦	Hyōgai
2655	累	Jōyō
2656	噪	Hyōgai
2657	鋒	Jinmeiyō
2658	嬲	Hyōgai
2659	柿	Jōyō
2660	侘	Hyōgai
2661	哄	Hyōgai
2662	楠	Jinmeiyō
2663	饒	Hyōgai
2664	贖	Hyōgai
2665	酵	Jōyō
2666	賦	Jōyō
2667	懺	Hyōgai
2668	漸	Jōyō
2669	匙	Hyōgai
2670	汎	Jōyō
2671	伎	Jōyō
2672	硯	Jinmeiyō
2673	椛	Jinmeiyō
2674	蠟	Jinmeiyō
2675	畔	Jōyō
2676	翅	Hyōgai
2677	蠅	Hyōgai
2678	刎	Hyōgai
2679	拮	Hyōgai
2680	轍	Hyōgai
2681	磯	Jinmeiyō
2682	琉	Jinmeiyō
2683	鵺	Hyōgai
2684	蒙	Jinmeiyō
2685	蹄	Jinmeiyō
2686	但	Jōyō
2687	椀	Jinmeiyō
2688	稟	Jinmeiyō
2689	螢	Hyōgai
2690	辟	Hyōgai
2691	漲	Hyōgai
2692	軀	Hyōgai
2693	倦	Jinmeiyō
2694	曝	Jinmeiyō
2695	漣	Jinmeiyō
2696	膠	Hyōgai
2697	諫	Hyōgai
2698	嘗	Jinmeiyō
2699	錫	Jinmeiyō
2700	樋	Jinmeiyō
2701	瑛	Jinmeiyō
2702	腺	Jōyō
2703	盃	Jinmeiyō
2704	膂	Hyōgai
2705	賠	Jōyō
2706	旺	Jōyō
2707	嗣	Jōyō
2708	蝉	Hyōgai
2709	弩	Hyōgai
2710	髏	Hyōgai
2711	髑	Hyōgai
2712	泌	Jōyō
2713	弐	Jōyō
2714	謐	Hyōgai
2715	殉	Jōyō
2716	簾	Jinmeiyō
2717	悴	Hyōgai
2718	窃	Jōyō
2719	哭	Hyōgai
2720	芦	Jinmeiyō
2721	彿	Hyōgai
2722	恕	Jinmeiyō
2723	攪	Hyōgai
2724	瘍	Jōyō
2725	壕	Jinmeiyō
2726	顛	Hyōgai
2727	曽	Jōyō
2728	芒	Hyōgai
2729	囃	Hyōgai
2730	憔	Hyōgai
2731	遼	Jinmeiyō
2732	蠍	Hyōgai
2733	糊	Jinmeiyō
2734	雁	Jinmeiyō
2735	褄	Hyōgai
2736	蚕	Kyōiku (6th grade)
2737	几	Hyōgai
2738	屹	Hyōgai
2739	楔	Hyōgai
2740	鯉	Jinmeiyō
2741	莪	Hyōgai
2742	脊	Jōyō
2743	嶽	Hyōgai
2744	朶	Hyōgai
2745	麟	Jinmeiyō
2746	噺	Hyōgai
2747	勾	Jōyō
2748	晦	Jinmeiyō
2749	孵	Hyōgai
2750	躓	Hyōgai
2751	娶	Hyōgai
2752	珊	Jinmeiyō
2753	滸	Hyōgai
2754	庸	Jōyō
2755	裳	Jinmeiyō
2756	窄	Jinmeiyō
2757	沁	Hyōgai
2758	聳	Hyōgai
2759	戌	Hyōgai
2760	瑚	Jinmeiyō
2761	鮫	Hyōgai
2762	毟	Hyōgai
2763	猊	Hyōgai
2764	汀	Jinmeiyō
2765	憾	Jōyō
2766	倖	Jinmeiyō
2767	瞰	Hyōgai
2768	諒	Jinmeiyō
2769	痍	Hyōgai
2770	棗	Hyōgai
2771	悉	Jinmeiyō
2772	脛	Hyōgai
2773	櫓	Jinmeiyō
2774	賤	Hyōgai
2775	祷	Jinmeiyō
2776	縞	Jinmeiyō
2777	氣	Jinmeiyō
2778	鮎	Jinmeiyō
2779	蓼	Hyōgai
2780	扮	Hyōgai
2781	慟	Hyōgai
2782	窯	Jōyō
2783	諏	Jinmeiyō
2784	臥	Jinmeiyō
2785	逅	Hyōgai
2786	邂	Hyōgai
2787	睥	Hyōgai
2788	凱	Jinmeiyō
2789	禽	Jinmeiyō
2790	媛	Kyōiku (4th grade)
2791	泄	Hyōgai
2792	嚢	Hyōgai
2793	塡	Jōyō
2794	廟	Jinmeiyō
2795	庄	Jinmeiyō
2796	僥	Hyōgai
2797	醍	Jinmeiyō
2798	醐	Jinmeiyō
2799	筐	Hyōgai
2800	椒	Hyōgai
2801	餃	Hyōgai
2802	罹	Hyōgai
2803	悼	Jōyō
2804	搦	Hyōgai
2805	簪	Hyōgai
2806	膿	Hyōgai
2807	臼	Jōyō
2808	蝦	Jinmeiyō
2809	撰	Jinmeiyō
2810	樵	Hyōgai
2811	篇	Jinmeiyō
2812	且	Jōyō
2813	鱈	Hyōgai
2814	埼	Kyōiku (4th grade)
2815	慇	Hyōgai
2816	懃	Hyōgai
2817	粕	Hyōgai
2818	賂	Jōyō
2819	菩	Jinmeiyō
2820	蠱	Hyōgai
2821	頁	Jinmeiyō
2822	瞞	Hyōgai
2823	箔	Jinmeiyō
2824	爬	Hyōgai
2825	芙	Jinmeiyō
2826	巷	Jinmeiyō
2827	陀	Jinmeiyō
2828	柑	Jinmeiyō
2829	函	Jinmeiyō
2830	嵩	Jinmeiyō
2831	縷	Hyōgai
2832	檀	Jinmeiyō
2833	絢	Jinmeiyō
2834	眇	Hyōgai
2835	芥	Jinmeiyō
2836	濫	Jōyō
2837	鯛	Jinmeiyō
2838	矮	Hyōgai
2839	扶	Jōyō
2840	榎	Jinmeiyō
2841	稜	Jinmeiyō
2842	詭	Hyōgai
2843	涜	Hyōgai
2844	呷	Hyōgai
2845	啖	Hyōgai
2846	巌	Jinmeiyō
2847	麒	Jinmeiyō
2848	鮭	Hyōgai
2849	嘯	Hyōgai
2850	鑽	Hyōgai
2851	袂	Hyōgai
2852	荊	Hyōgai
2853	蓉	Jinmeiyō
2854	諍	Hyōgai
2855	琵	Jinmeiyō
2856	琶	Jinmeiyō
2857	彙	Jōyō
2858	涛	Hyōgai
2859	彗	Jinmeiyō
2860	魄	Hyōgai
2861	敦	Jinmeiyō
2862	槻	Jinmeiyō
2863	驕	Hyōgai
2864	蛾	Hyōgai
2865	腎	Jōyō
2866	狛	Hyōgai
2867	靖	Jinmeiyō
2868	茅	Jinmeiyō
2869	鳶	Jinmeiyō
2870	壌	Jōyō
